[11/12/01 00:26:58][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Forward Elapsed: 36.5053 ms
[11/12/01 00:28:38][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Post Elapsed: 10.6657 ms
[11/12/01 00:30:18][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Forward Elapsed: 36.7177 ms
[11/12/01 00:31:58][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Forward Elapsed: 36.167 ms
[11/12/01 00:33:38][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Forward Elapsed: 35.9773 ms
[11/12/01 00:35:18][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Post Elapsed: 10.3367 ms
[11/12/01 00:36:59][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Forward Elapsed: 36.8063 ms
[11/12/01 00:38:39][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Forward Elapsed: 34.5513 ms
[11/12/01 00:40:19][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Forward Elapsed: 35.8917 ms
[11/12/01 00:41:59][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Forward Elapsed: 37.3583 ms
[11/12/01 00:43:39][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Forward Elapsed: 36.1963 ms
[11/12/01 00:45:19][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Forward Elapsed: 38.5593 ms
[11/12/01 00:46:59][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Forward Elapsed: 34.903 ms
[11/12/01 00:48:39][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Post Elapsed: 9.29633 ms
