12-01 00:04:43 929[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:04:51 969[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:04:51 969[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:05:00 008[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:05:00 008[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:05:08 059[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:05:08 059[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:05:16 097[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:05:16 097[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:05:20 148[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10189
12-01 00:05:24 146[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:05:24 147[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:05:32 177[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:05:32 177[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:05:40 218[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:05:40 218[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:05:48 267[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:05:48 268[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:05:56 312[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:05:56 312[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:06:04 349[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:06:04 349[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:06:12 388[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:06:12 389[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:06:20 514[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:06:20 515[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:06:28 557[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:06:28 557[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:06:36 597[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:06:36 597[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:06:44 638[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:06:44 638[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:06:52 677[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:06:52 677[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:07:00 717[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:07:00 717[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:07:08 758[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:07:08 758[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:07:16 799[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:07:16 800[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:07:24 837[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:07:24 837[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
